symbol,date,open,high,low,close,adj_close,volume,created_at
FPT.VN,2014-10-13,11198.2158203125,11521.2421875,11198.2158203125,11521.2421875,7934.255859375,2099555,2026-08-06 16:24:45.638407
FPT.VN,2014-10-14,11521.2421875,11521.2421875,11198.2158203125,11198.2158203125,7711.79931640625,1679356,2026-08-06 16:24:45.638407
FPT.VN,2014-10-15,11090.541015625,11198.2158203125,11090.541015625,11198.2158203125,7711.79931640625,3780491,2026-08-06 16:24:45.638407
FPT.VN,2014-10-16,11090.541015625,11090.541015625,10702.91015625,10702.91015625,7370.7021484375,7393906,2026-08-06 16:24:45.638407
FPT.VN,2014-10-17,10745.98046875,10875.1904296875,10745.98046875,10875.1904296875,7489.345703125,4063518,2026-08-06 16:24:45.638407
FPT.VN,2014-10-20,10875.1904296875,10875.1904296875,10767.515625,10767.515625,7415.19140625,1831898,2026-08-06 16:24:45.638407
FPT.VN,2014-10-21,10767.515625,10767.515625,10767.515625,10767.515625,7415.19140625,1602087,2026-08-06 16:24:45.638407
FPT.VN,2014-10-22,10875.1904296875,10875.1904296875,10875.1904296875,10875.1904296875,7489.345703125,1904571,2026-08-06 16:24:45.638407
FPT.VN,2014-10-23,10767.515625,10767.515625,10745.98046875,10745.98046875,7400.36181640625,2768187,2026-08-06 16:24:45.638407
FPT.VN,2014-10-24,10767.515625,10767.515625,10724.4453125,10724.4453125,7385.5322265625,2230273,2026-08-06 16:24:45.638407
FPT.VN,2014-10-27,10659.8408203125,10659.8408203125,10487.560546875,10487.560546875,7222.3955078125,2690128,2026-08-06 16:24:45.638407
FPT.VN,2014-10-28,10444.490234375,10552.1650390625,10444.490234375,10552.1650390625,7266.88720703125,1779844,2026-08-06 16:24:45.638407
FPT.VN,2014-10-29,10552.1650390625,10767.515625,10552.1650390625,10767.515625,7415.19140625,1974132,2026-08-06 16:24:45.638407
FPT.VN,2014-10-30,10767.515625,10767.515625,10767.515625,10767.515625,7415.19140625,2393356,2026-08-06 16:24:45.638407
FPT.VN,2014-10-31,10767.515625,10982.8662109375,10767.515625,10982.8662109375,7563.4951171875,1493566,2026-08-06 16:24:45.638407
FPT.VN,2014-11-03,11090.541015625,11090.541015625,11090.541015625,11090.541015625,7637.6484375,1706707,2026-08-06 16:24:45.638407
FPT.VN,2014-11-04,10982.8662109375,10982.8662109375,10982.8662109375,10982.8662109375,7563.4951171875,1778218,2026-08-06 16:24:45.638407
FPT.VN,2014-11-05,10982.8662109375,10982.8662109375,10875.1904296875,10875.1904296875,7489.345703125,1375340,2026-08-06 16:24:45.638407
FPT.VN,2014-11-06,10982.8662109375,10982.8662109375,10767.515625,10767.515625,7415.19140625,1762848,2026-08-06 16:24:45.638407
FPT.VN,2014-11-07,10767.515625,10875.1904296875,10767.515625,10875.1904296875,7489.345703125,1172229,2026-08-06 16:24:45.638407
FPT.VN,2014-11-10,10875.1904296875,10875.1904296875,10875.1904296875,10875.1904296875,7489.345703125,2034173,2026-08-06 16:24:45.638407
FPT.VN,2014-11-11,10982.8662109375,10982.8662109375,10982.8662109375,10982.8662109375,7563.4951171875,820477,2026-08-06 16:24:45.638407
FPT.VN,2014-11-12,10982.8662109375,10982.8662109375,10875.1904296875,10875.1904296875,7489.345703125,688506,2026-08-06 16:24:45.638407
FPT.VN,2014-11-13,10875.1904296875,10875.1904296875,10875.1904296875,10875.1904296875,7489.345703125,1495005,2026-08-06 16:24:45.638407
FPT.VN,2014-11-14,10875.1904296875,10875.1904296875,10767.515625,10767.515625,7415.19140625,2135822,2026-08-06 16:24:45.638407
FPT.VN,2014-11-17,10875.1904296875,10875.1904296875,10745.98046875,10745.98046875,7400.36181640625,1406081,2026-08-06 16:24:45.638407
FPT.VN,2014-11-18,10767.515625,10767.515625,10573.7001953125,10573.7001953125,7281.71923828125,1612303,2026-08-06 16:24:45.638407
FPT.VN,2014-11-19,10616.7705078125,10616.7705078125,10552.1650390625,10552.1650390625,7266.88720703125,3110466,2026-08-06 16:24:45.638407
FPT.VN,2014-11-20,10573.7001953125,10573.7001953125,10552.1650390625,10552.1650390625,7266.88720703125,1702853,2026-08-06 16:24:45.638407
FPT.VN,2014-11-21,10616.7705078125,10616.7705078125,10573.7001953125,10573.7001953125,7281.71923828125,1858785,2026-08-06 16:24:45.638407
FPT.VN,2014-11-24,10552.1650390625,10552.1650390625,10509.095703125,10509.095703125,7237.22607421875,1343485,2026-08-06 16:24:45.638407
FPT.VN,2014-11-25,10509.095703125,10595.2353515625,10509.095703125,10595.2353515625,7296.55078125,882329,2026-08-06 16:24:45.638407
