symbol,date,open,high,low,close,volume,sma20,sma50,ema20,ema50,rsi14,macd,macd_signal,macd_hist,atr14,obv,bollinger_upper,bollinger_middle,bollinger_lower,target
FPT.VN,2013-02-01,6891.21,6891.21,6718.93,6805.07,1876593,6641.404,6126.6296,6602.7986,6355.2851,60.7297,197.8774,187.1639,10.7135,172.2624,-17113249,7037.8241,6641.404,6244.9839,0
FPT.VN,2013-02-04,6856.75,6856.75,6753.39,6787.84,966854,6668.969,6146.2696,6620.4216,6372.248,59.9707,188.4334,187.4178,1.0156,167.3408,-18080103,7021.0423,6668.969,6316.8957,0
FPT.VN,2013-02-05,6736.16,6787.84,6701.7,6753.39,1063383,6679.306,6166.2542,6633.0852,6387.1948,58.399,176.1386,185.162,-9.0233,161.5407,-19143486,7028.3851,6679.306,6330.2269,1
FPT.VN,2013-02-06,6736.16,6891.21,6736.16,6787.84,527628,6682.7515,6188.306,6647.8238,6402.9064,59.5409,167.2469,181.5789,-14.3321,161.0771,-18615858,7034.8248,6682.7515,6330.6782,1
FPT.VN,2013-02-07,6805.07,6822.3,6770.61,6822.3,902541,6683.613,6212.4252,6664.4406,6419.3532,60.7028,161.1234,177.4878,-16.3644,153.2638,-17713317,7037.0283,6683.613,6330.1977,1
FPT.VN,2013-02-08,6839.53,6977.35,6805.07,6856.75,535000,6691.3655,6236.889,6682.7558,6436.506,61.8814,157.2378,173.4378,-16.2,154.6221,-17178317,7053.1545,6691.3655,6329.5765,0
FPT.VN,2013-02-11,6856.75,6856.75,6856.75,6856.75,0,6709.4545,6262.0418,6699.3266,6452.9861,61.8814,152.4016,169.2306,-16.829,143.5776,-17178317,7066.0378,6709.4545,6352.8712,0
FPT.VN,2013-02-12,6856.75,6856.75,6856.75,6856.75,0,6723.2365,6286.161,6714.3193,6468.82,61.8814,146.8759,164.7596,-17.8838,133.3221,-17178317,7080.2401,6723.2365,6366.2329,0
FPT.VN,2013-02-13,6856.75,6856.75,6856.75,6856.75,0,6733.573,6310.6248,6727.8842,6484.033,61.8814,140.8727,159.9823,-19.1095,123.7991,-17178317,7093.6091,6733.573,6373.5369,0
FPT.VN,2013-02-14,6856.75,6856.75,6856.75,6856.75,0,6748.2165,6335.7776,6740.1571,6498.6493,61.8814,134.564,154.8986,-20.3346,114.9563,-17178317,7102.9771,6748.2165,6393.4559,0
FPT.VN,2013-02-15,6856.75,6856.75,6856.75,6856.75,0,6764.583,6361.6196,6751.2612,6512.6925,61.8814,128.0879,149.5365,-21.4486,106.7451,-17178317,7106.8239,6764.583,6422.3421,1
FPT.VN,2013-02-18,6856.75,6925.67,6839.53,6891.21,760447,6784.395,6386.7726,6764.5896,6527.5363,63.5856,124.3032,144.4898,-20.1866,105.2733,-16417870,7106.1844,6784.395,6462.6056,0
FPT.VN,2013-02-19,6891.21,6908.44,6822.3,6839.53,976664,6806.7915,6411.581,6771.7268,6539.7714,59.3036,115.7988,138.7516,-22.9528,103.9067,-17394534,7070.5996,6806.7915,6542.9834,0
FPT.VN,2013-02-20,6753.39,6839.53,6753.39,6805.07,995993,6827.465,6433.9774,6774.9024,6550.1752,56.5681,105.0672,132.0147,-26.9475,102.6376,-18390527,7004.9598,6827.465,6649.9702,0
FPT.VN,2013-02-21,6805.07,6822.3,6650.02,6650.02,1785288,6832.6335,6452.5838,6763.0088,6554.0907,46.2342,83.0933,122.2304,-39.1372,107.6121,-20175815,6978.9866,6832.6335,6686.2804,0
FPT.VN,2013-02-22,6701.7,6787.84,6460.51,6632.79,1961745,6825.7425,6471.5346,6750.607,6557.1769,45.245,63.5558,110.4955,-46.9397,123.3062,-22137560,6995.499,6825.7425,6655.986,0
FPT.VN,2013-02-25,6701.7,6701.7,6598.33,6615.56,831958,6813.683,6490.4854,6737.7454,6559.4665,44.226,46.1499,97.6264,-51.4765,121.8822,-22969518,7006.8225,6813.683,6620.5435,0
FPT.VN,2013-02-26,6615.56,6615.56,6357.14,6357.14,1654513,6791.2865,6505.9906,6701.4973,6551.5321,32.4295,11.3722,80.3756,-69.0033,131.6349,-24624031,7072.4547,6791.2865,6510.1183,0
FPT.VN,2013-02-27,6305.46,6426.05,6288.23,6305.46,1643310,6755.108,6517.3612,6663.7794,6541.8822,30.6677,-20.1275,60.2749,-80.4024,132.0767,-26267341,7088.7771,6755.108,6421.4389,1
FPT.VN,2013-02-28,6305.46,6408.83,6305.46,6374.37,1109065,6728.4045,6531.8328,6636.2166,6535.3131,35.6849,-39.0803,40.4039,-79.4842,130.0262,-25158276,7094.3297,6728.4045,6362.4793,0
FPT.VN,2013-03-01,6391.6,6391.6,6339.91,6374.37,562339,6706.8695,6546.9934,6611.2788,6529.0016,35.6849,-53.484,21.6263,-75.1103,124.4308,-25158276,7103.2262,6706.8695,6310.5128,0
FPT.VN,2013-03-04,6357.14,6357.14,6202.09,6236.54,1309204,6679.3045,6557.3302,6575.5894,6517.5325,30.5557,-75.1544,2.2702,-77.4246,127.8486,-26467480,7125.4991,6679.3045,6233.1099,0
FPT.VN,2013-03-05,6202.09,6236.54,6150.4,6150.4,1131644,6649.155,6565.9442,6535.0952,6503.1352,27.8605,-98.1478,-17.8134,-80.3344,124.8694,-27599124,7152.1454,6649.155,6146.1646,1
FPT.VN,2013-03-06,6150.4,6253.77,6150.4,6236.54,350301,6621.59,6572.4908,6506.6614,6492.6805,34.1187,-108.1725,-35.8852,-72.2872,123.3337,-27248823,7152.2436,6621.59,6090.9364,0
FPT.VN,2013-03-07,6288.23,6288.23,6133.18,6202.09,672566,6590.5795,6574.2136,6477.6546,6481.2848,32.8898,-117.542,-52.2166,-65.3254,125.5992,-27921389,7143.8532,6590.5795,6037.3058,1
FPT.VN,2013-03-08,6184.86,6357.14,6184.86,6339.91,674424,6564.7375,6579.7266,6464.536,6475.7407,41.9048,-112.5491,-64.2831,-48.266,128.9335,-27246965,7113.9308,6564.7375,6015.5442,1
FPT.VN,2013-03-11,6339.91,6460.51,6339.91,6443.28,455885,6544.064,6587.307,6462.5117,6474.4677,47.5913,-99.1086,-71.2482,-27.8604,128.3383,-26791080,7077.8875,6544.064,6010.2405,0
FPT.VN,2013-03-12,6408.83,6512.19,6357.14,6443.28,390700,6523.3905,6594.8874,6460.6801,6473.2446,47.5913,-87.4488,-74.4883,-12.9605,130.2462,-26791080,7037.9026,6523.3905,6008.8784,0
FPT.VN,2013-03-13,6477.74,6477.74,6374.37,6391.6,385360,6500.133,6597.2994,6454.101,6470.0429,45.0353,-81.4398,-75.8786,-5.5612,128.3265,-27176440,6992.7853,6500.133,6007.4807,1
FPT.VN,2013-03-14,6460.51,6460.51,6391.6,6426.05,90666,6478.598,6602.1232,6451.4295,6468.3177,47.0758,-73.0556,-75.314,2.2584,124.0825,-27085774,6942.4247,6478.598,6014.7713,0
FPT.VN,2013-03-15,6443.28,6443.28,6391.6,6408.83,80102,6456.202,6604.8798,6447.3724,6465.9848,46.1535,-67.0279,-73.6568,6.6289,118.9109,-27165876,6885.0878,6456.202,6027.3162,0
FPT.VN,2013-03-18,6426.05,6443.28,6357.14,6357.14,316693,6429.4985,6607.2918,6438.7788,6461.7164,43.4045,-65.6649,-72.0584,6.3935,116.5701,-27482569,6807.8743,6429.4985,6051.1227,1
FPT.VN,2013-03-19,6322.69,6391.6,6322.69,6374.37,158346,6406.2405,6603.8462,6432.6447,6458.2911,44.5892,-62.4743,-70.1416,7.6673,113.1658,-27324223,6732.025,6406.2405,6080.456,1
FPT.VN,2013-03-20,6426.05,6460.51,6374.37,6408.83,366495,6386.4285,6597.6442,6430.3766,6456.3514,46.9798,-56.5136,-67.416,10.9024,111.2354,-26957728,6652.8809,6386.4285,6119.9761,1
FPT.VN,2013-03-21,6443.28,6650.02,6426.05,6581.11,1593566,6382.983,6593.165,6444.7322,6461.2439,56.974,-37.4564,-61.4241,23.9677,120.5179,-25364162,6636.5546,6382.983,6129.4114,0
FPT.VN,2013-03-22,6650.02,6856.75,6546.65,6546.65,2249648,6378.676,6590.064,6454.4386,6464.5932,54.7509,-24.8476,-54.1088,29.2612,134.0594,-27613810,6616.8402,6378.676,6140.5118,1
FPT.VN,2013-03-25,6667.25,6667.25,6581.11,6632.79,1006731,6379.5375,6592.8204,6471.4245,6471.1891,59.0521,-7.8142,-44.8498,37.0357,133.098,-26607079,6621.4055,6379.5375,6137.6695,0
FPT.VN,2013-03-26,6684.47,6684.47,6598.33,6598.33,803342,6391.597,6593.1648,6483.5107,6476.175,56.7289,2.8712,-35.3056,38.1768,129.7439,-27410421,6652.0967,6391.597,6131.0973,0
